event,channel,n_epochs,peak_amplitude_uv,peak_latency_ms,mean_amplitude_0_800ms_uv
S_13,Fp1,3,25.463846159433427,513.0,1.2527232668856771
S_13,F3,3,7.759382969467861,509.0,1.4299413274735597
S_13,F7,3,12.2461964666488,507.0,0.9859983888972971
S_13,FT9,3,6.749068391187385,11.0,1.5196521966340688
S_13,FC5,3,6.25190440059226,10.0,1.2528902004930662
S_13,FC1,3,7.5814986237027675,188.0,1.1839687108244366
S_13,C3,3,5.3122272161674156,194.0,1.2589773218481994
S_13,T7,3,7.463088883519421,199.0,1.3796929455133722
S_13,TP9,3,-9.98285475343404,532.0,0.19045316957192487
S_13,CP5,3,-6.879206591221903,528.0,-0.08207197370411326
S_13,CP1,3,8.304112423765416,185.0,1.3772837686071135
S_13,Pz,3,-6.752911957334761,486.0,0.21094731388947696
S_13,P3,3,9.578649377028045,274.0,-0.9342868532795963
S_13,P7,3,6.865421216953172,372.0,1.1143861760204963
S_13,O1,3,13.086028256113671,371.0,1.9159665707553564
S_13,Oz,3,11.859607756078551,126.0,1.2504651306999077
S_13,O2,3,11.811966521552002,401.0,1.1388212558270232
S_13,P4,3,5.901994428531374,335.0,1.0367392149670032
S_13,P8,3,6.7653227999968255,309.0,0.03601822894709332
S_13,TP10,3,-12.389246428870758,485.0,-0.9790681189010366
S_13,CP6,3,-7.569725873868193,390.0,-0.34531164189121527
S_13,CP2,3,4.876919611883632,643.0,-0.14415562953154254
S_13,Cz,3,7.996550652838957,188.0,0.5213175181541749
S_13,C4,3,-7.71306435575066,127.0,-0.43879258051369263
S_13,T8,3,-9.18583071323809,425.0,-1.6268501765150376
S_13,FT10,3,-11.562407532676703,190.0,-3.7341108397319904
S_13,FC6,3,-9.226071479099527,357.0,-2.480671224185888
S_13,FC2,3,-4.53883611744198,548.0,0.018334806355165552
S_13,F4,3,-9.475164397841482,264.0,-1.6093921163324474
S_13,F8,3,-13.489621811606204,266.0,-4.860844813567865
S_13,Fp2,3,22.752444117355886,493.0,-1.8390215442099835
S_14,Fp1,4,18.21185622095879,424.0,8.166771565334644
S_14,F3,4,10.516875998905547,421.0,1.3193332673899354
S_14,F7,4,12.80045449019898,452.0,3.929188787875548
S_14,FT9,4,8.074499275372986,168.0,1.1880526826696511
S_14,FC5,4,-7.450588661184944,673.0,0.6874594518522398
S_14,FC1,4,-7.255238032726974,264.0,-0.9977359889959614
S_14,C3,4,6.004512367908641,196.0,0.6640677965622993
S_14,T7,4,9.357458020714866,526.0,0.1937480635183374
S_14,TP9,4,8.430545835467854,129.0,0.24061554905075885
S_14,CP5,4,7.301639934716413,528.0,0.8524839312265586
S_14,CP1,4,-6.7496374684732485,437.0,-1.8268546576817046
S_14,Pz,4,5.84920656291465,678.0,-1.0320605865348378
S_14,P3,4,6.311585385059671,312.0,0.7013054993084192
S_14,P7,4,9.815257395286906,128.0,1.0100889287498123
S_14,O1,4,9.997926515338913,298.0,1.7196971562072034
S_14,Oz,4,8.893096493737776,670.0,1.4386784727617616
S_14,O2,4,13.700435946079894,670.0,1.9078535210934977
S_14,P4,4,6.89929243556951,676.0,-0.9886907542258001
S_14,P8,4,-7.931875855337392,528.0,-0.09984276159633516
S_14,TP10,4,-11.06705305886891,200.0,-1.5153649841933854
S_14,CP6,4,-7.907271166572894,161.0,-2.112673015806819
S_14,CP2,4,-6.150920593740651,135.0,-1.5023888326211723
S_14,Cz,4,-9.074146920613389,386.0,-1.7424492722563818
S_14,C4,4,-6.772931393358866,309.0,-1.5525973881175106
S_14,T8,4,-10.812286677558921,374.0,-2.9807539056732604
S_14,FT10,4,-12.49555917290472,158.0,-3.5542551233626063
S_14,FC6,4,-9.662272796508903,163.0,-2.8532848756702376
S_14,FC2,4,-7.814467428868149,385.0,-1.4395426422710733
S_14,F4,4,-7.99396335184562,800.0,-1.4347980077735782
S_14,F8,4,-13.893101752795296,157.0,-3.4641254491128093
S_14,Fp2,4,15.073877045457072,425.0,5.07807357229281
S_15,Fp1,3,27.326525706471898,555.0,2.366622134867198
S_15,F3,3,8.968615124766458,561.0,-0.7327598718853997
S_15,F7,3,14.858784827745477,554.0,3.978265079600125
S_15,FT9,3,-10.213555131610315,646.0,2.7895848530215255
S_15,FC5,3,-6.017161124149194,646.0,0.043344182658268324
